N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	9	92	0.01	0	54.144538	80.389259	56.978267	42.864288	20.815745	15.783723	13.607949	187.511475	168.634326	136.602574	171.768151	47.353963	17.600887	4.533134	0.695541	4.712149	1	-5226
8	800	1000	1	5	67	0.01	0	49.042113	96.001581	76.073860	69.697723	44.493119	22.089070	13.953735	607.391847	217.366540	153.417403	298.214971	227.051656	96.469307	3.164687	2.620496	2.127537	1	-3059
8	800	1000	1	8	92	0.01	0	77.669171	144.167739	148.118415	167.961742	163.402058	149.267639	140.310136	559.926629	2711.550928	294.601949	667.711118	880.490985	685.873007	3.159752	2.520753	2.142644	1	-4312
8	800	1000	1	7	55	0.01	0	57.344672	103.317382	89.148464	40.365766	14.728522	8.335467	6.288961	444.812816	191.292756	388.939682	225.318276	60.767557	26.139129	2.632771	1.953887	0.527055	1	-3929
8	800	1000	1	5	77	0.01	0	9.736545	12.508026	13.357890	14.575119	14.245654	14.218599	13.048227	27.590285	10.484585	17.451600	8.447954	6.552066	13.828803	2.296753	0.509772	4.666417	1	-3388
8	800	1000	1	5	69	0.01	0	7.993178	12.377924	9.517550	8.141836	3.638963	2.015189	0.807376	20.561700	6.865585	5.144502	18.424940	5.905511	5.634396	1.768126	0.316126	4.705557	1	-5722
8	800	1000	1	8	72	0.01	0	75.133588	143.251194	110.006460	50.926909	16.415780	12.200269	10.795390	545.115959	256.072617	469.680159	349.148918	58.754692	23.825353	3.248729	1.036546	3.537538	1	-4910
8	800	1000	1	8	85	0.01	0	57.395061	83.280116	36.634247	32.511309	15.748743	12.055479	9.803691	170.864538	336.820996	54.710776	120.277122	28.442698	20.411428	1.066182	0.872372	2.513581	1	-8348
8	800	1000	1	8	61	0.01	0	66.117884	118.659340	48.508885	49.613616	7.466293	6.606794	6.237144	384.981346	538.974932	38.084963	344.822921	9.913022	9.808924	3.054326	1.324448	0.701331	1	-6934
8	800	1000	1	7	89	0.01	0	50.614855	83.036936	62.470293	44.936541	39.145224	26.669252	15.590715	219.979503	144.778385	130.211965	57.078361	93.858572	89.486714	0.627729	2.085580	1.220038	1	-7036
